labMIT-1.0.txt;;;;;;;
language assessment by Mechanical Turk 1.0;;;;;;;
;;;;;;;
word;happiness_rank;happiness_average;happiness_standard_deviation;twitter_rank;google_rank;nyt_rank;lyrics_rank
confidence;381;jul.22;12.824;4570;1802;2284;3254
darling;382;jul.22;13.138;4107;--;--;742
encouraging;383;jul.22;15.556;--;--;4780;--
energy;384;jul.22;12.982;1005;549;877;2115
films;385;jul.22;12.824;3211;3300;1444;--
garden;386;jul.22;11.830;1064;1821;875;1557
graduated;387;jul.22;12.664;--;--;492;--
guitar;388;jul.22;14.748;1324;--;4072;1071
health;389;jul.22;12.501;400;441;287;3144
heart;390;jul.22;14.327;274;435;719;86
honor;391;jul.22;12.002;1630;2559;1863;3003
like;392;jul.22;12.171;32;89;76;26
musical;393;jul.22;15.556;2642;3246;1275;4045
pets;394;jul.22;15.292;4059;--;--;--
relaxed;395;jul.22;10.554;4698;--;--;--
salary;396;jul.22;13.445;--;4883;3110;--
star;397;jul.22;15.817;392;2460;1290;497
sweeter;398;jul.22;11.119;--;--;--;2858
trust;399;jul.22;12.337;705;1399;1358;563
yummy;400;jul.22;17.876;1608;--;--;--
ecstasy;401;jul.20;17.318;--;--;--;2805
eternal;402;jul.20;15.272;--;2958;--;1699
approved;403;jul.20;14.983;--;3132;1417;--
benefits;404;jul.20;10.498;3234;1814;1124;--
cartoon;405;jul.20;14.428;4463;--;--;--
comforted;406;jul.20;14.428;--;--;4362;--
cool;407;jul.20;13.401;276;3437;3533;472
discount;408;jul.20;12.936;2776;--;3885;--
good;409;jul.20;14.569;19;121;164;114
google;410;jul.20;13.093;456;--;--;--
ladies;411;jul.20;14.708;1047;3188;--;814
libraries;412;jul.20;12.454;--;4520;--;--
luv;413;jul.20;18.406;1044;--;--;3606
perfection;414;jul.20;16.288;--;4505;--;3509
presents;415;jul.20;14.569;1940;2555;4154;4863
prizes;416;jul.20;20.304;4281;--;--;--
special;417;jul.20;11.952;649;448;480;866
wishes;418;jul.20;12.122;1650;3179;--;2773
alive;419;jul.18;12.887;872;2707;2977;445
awards;420;jul.18;12.070;1633;--;2230;--
bed;421;jul.18;12.887;124;1100;3503;459
best;422;jul.18;16.866;126;282;295;270
coffee;423;jul.18;14.803;474;2997;2806;1799
comfy;424;jul.18;12.237;4650;--;--;--
fiesta;425;jul.18;17.692;--;--;--;4352
genuine;426;jul.18;13.805;--;3492;--;--
helping;427;jul.18;16.374;1479;3756;2215;3277
imagine;428;jul.18;11.008;888;2512;3062;1282
leisure;429;jul.18;16.986;--;--;3100;--
meal;430;jul.18;14.665;2018;3858;--;3549
promise;431;jul.18;11.899;1881;2230;2838;642
respected;432;jul.18;10.240;--;--;3229;--
rest;433;jul.18;12.567;562;630;891;490
travel;434;jul.18;14.241;632;2204;623;1910
abundant;435;jul.16;16.458;--;4672;--;--
attracted;436;jul.16;11.669;--;4251;--;--
devoted;437;jul.16;13.607;--;2487;310;--
